case_type,benchmark,method,level_pct,n_samples,geometry_fraction_median,geometry_fraction_iqr,geometry_fraction_std,geometry_fraction_control_median,geometry_fraction_paired_diff_median,narrow_gap_fraction_median,narrow_gap_fraction_iqr,narrow_gap_fraction_std,narrow_gap_fraction_control_median,narrow_gap_fraction_paired_diff_median,thin_line_fraction_median,thin_line_fraction_iqr,thin_line_fraction_std,thin_line_fraction_control_median,thin_line_fraction_paired_diff_median,boundary_proximity_mean_median,boundary_proximity_mean_iqr,boundary_proximity_mean_std,boundary_proximity_mean_control_median,boundary_proximity_mean_paired_diff_median,junction_recall_median,junction_recall_iqr,junction_recall_std,junction_recall_control_median,junction_recall_paired_diff_median,junction_density_per_kpx_median,junction_density_per_kpx_iqr,junction_density_per_kpx_std,junction_density_per_kpx_control_median,junction_density_per_kpx_paired_diff_median,corner_recall_median,corner_recall_iqr,corner_recall_std,corner_recall_control_median,corner_recall_paired_diff_median,corner_density_per_kpx_median,corner_density_per_kpx_iqr,corner_density_per_kpx_std,corner_density_per_kpx_control_median,corner_density_per_kpx_paired_diff_median,local_density_mean_median,local_density_mean_iqr,local_density_mean_std,local_density_mean_control_median,local_density_mean_paired_diff_median
TN,iccad3,gradcam_plus,30,3,0.13,0.0992,0.0924,0.0932,0.0596,0.2829,0.1146,0.0937,0.1825,0.0917,0.0372,0.0243,0.0209,0.0224,0.0103,16.363,9.9995,8.1736,18.6945,-5.6505,0.0,0.5,0.4714,0.0,0.0,0.0,0.797,0.7514,0.0,0.0,0.5288,0.1859,0.1554,0.2817,0.2471,7.308,3.421,2.8059,3.8151,2.6065,0.1215,0.0552,0.0493,0.0951,0.0379
TN,iccad3,layercam,10,3,0.4283,0.0293,0.0256,0.1216,0.3514,0.3964,0.0305,0.0274,0.1914,0.2226,0.0909,0.0036,0.0031,0.0285,0.0682,3.156,0.766,0.6541,16.1623,-13.0063,0.0,0.0625,0.0589,0.0,0.0,0.0,0.299,0.2819,0.0,0.0,0.4022,0.2428,0.2033,0.1186,0.3035,15.345,19.729,17.5821,4.9934,12.9362,0.2388,0.0312,0.026,0.118,0.1486
TN,iccad3,layercam,20,3,0.349,0.032,0.0289,0.1001,0.2218,0.393,0.0353,0.0289,0.1786,0.2176,0.0773,0.0088,0.0075,0.0234,0.0485,4.793,2.8275,2.457,18.4972,-13.7042,0.0,0.2917,0.275,0.0,0.0,0.0,0.6975,0.6576,0.0,0.0,0.6106,0.1827,0.1596,0.2133,0.3851,11.36,14.25,13.0118,4.3327,7.4749,0.2184,0.0348,0.0284,0.0994,0.119
TN,iccad3,layercam,30,3,0.2793,0.0416,0.0364,0.0932,0.1552,0.3627,0.0337,0.0277,0.1825,0.1944,0.0632,0.0116,0.0097,0.0224,0.0345,6.851,5.033,4.3644,18.6945,-11.8435,0.0,0.4792,0.4517,0.0,0.0,0.0,0.764,0.7203,0.0,0.0,0.7692,0.1282,0.1135,0.2817,0.4875,10.629,11.792,10.3412,3.8151,6.8139,0.1958,0.0376,0.0308,0.0951,0.0929
TN,iccad3,occlusion,10,3,0.3948,0.1086,0.0908,0.1216,0.3179,0.4388,0.0524,0.0428,0.1914,0.2294,0.0805,0.0216,0.0177,0.0285,0.064,4.477,0.878,0.8116,16.1623,-12.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0521,0.0491,0.1186,-0.1186,0.0,6.4765,6.1061,4.9934,-2.4088,0.2487,0.0542,0.05,0.118,0.1783
TN,iccad3,occlusion,20,3,0.2614,0.035,0.0319,0.1001,0.188,0.4131,0.0824,0.0685,0.1786,0.2377,0.0628,0.0102,0.0083,0.0234,0.0375,5.747,0.895,0.741,18.4972,-13.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101,0.0801,0.0662,0.2133,-0.1123,2.093,4.9825,4.2902,4.3327,-2.2397,0.2381,0.037,0.0304,0.0994,0.1387
TN,iccad3,occlusion,30,3,0.2057,0.0252,0.0226,0.0932,0.1133,0.3261,0.0982,0.0829,0.1825,0.1578,0.0484,0.0064,0.0054,0.0224,0.026,7.796,0.5445,0.4921,18.6945,-10.8015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3221,0.1226,0.1029,0.2817,0.0262,2.724,5.647,5.1744,3.8151,0.8795,0.1937,0.0241,0.0218,0.0951,0.1015
TN,iccad4,gradcam,10,3,0.0,0.0,0.0,0.1017,-0.1017,0.0,0.0,0.0,0.1951,-0.1951,0.0,0.0,0.0,0.0264,-0.0264,31.461,3.937,3.4133,18.1746,13.2864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097,-0.097,0.0,0.0,0.0,3.9778,-3.9778,0.0063,0.0013,0.0011,0.0998,-0.0935
TN,iccad4,gradcam,20,3,0.0,0.0,0.0,0.0855,-0.0855,0.0,0.0,0.0,0.192,-0.192,0.0,0.0,0.0,0.0222,-0.0222,31.909,1.641,1.3681,18.9424,12.9666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833,-0.1833,0.0,0.0,0.0,3.2586,-3.2586,0.0032,0.0017,0.0015,0.0899,-0.0867
TN,iccad4,gradcam,30,3,0.0,0.0,0.0,0.0956,-0.0956,0.0,0.0175,0.0165,0.1928,-0.1869,0.0,0.0,0.0,0.0248,-0.0248,31.205,0.8565,0.7013,18.2347,13.7153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3279,-0.3279,0.0,0.0,0.0,3.611,-3.611,0.0055,0.0095,0.0085,0.0957,-0.0782
