case_type,benchmark,method,level_pct,n_samples,geometry_fraction_median,geometry_fraction_iqr,geometry_fraction_std,geometry_fraction_control_median,geometry_fraction_paired_diff_median,narrow_gap_fraction_median,narrow_gap_fraction_iqr,narrow_gap_fraction_std,narrow_gap_fraction_control_median,narrow_gap_fraction_paired_diff_median,thin_line_fraction_median,thin_line_fraction_iqr,thin_line_fraction_std,thin_line_fraction_control_median,thin_line_fraction_paired_diff_median,boundary_proximity_mean_median,boundary_proximity_mean_iqr,boundary_proximity_mean_std,boundary_proximity_mean_control_median,boundary_proximity_mean_paired_diff_median,junction_recall_median,junction_recall_iqr,junction_recall_std,junction_recall_control_median,junction_recall_paired_diff_median,junction_density_per_kpx_median,junction_density_per_kpx_iqr,junction_density_per_kpx_std,junction_density_per_kpx_control_median,junction_density_per_kpx_paired_diff_median,corner_recall_median,corner_recall_iqr,corner_recall_std,corner_recall_control_median,corner_recall_paired_diff_median,corner_density_per_kpx_median,corner_density_per_kpx_iqr,corner_density_per_kpx_std,corner_density_per_kpx_control_median,corner_density_per_kpx_paired_diff_median,local_density_mean_median,local_density_mean_iqr,local_density_mean_std,local_density_mean_control_median,local_density_mean_paired_diff_median
TP,iccad1,layercam,20,3,0.3475,0.0305,0.025,0.2385,0.1089,0.2827,0.0144,0.0118,0.1643,0.1143,0.1204,0.0158,0.0131,0.0785,0.0419,4.613,0.6,0.4978,9.6877,-5.4877,0.0,0.42,0.396,0.0,0.0,0.0,1.0465,0.9866,0.0,0.0,0.4111,0.0818,0.072,0.191,0.2185,17.04,5.5805,4.6828,7.2819,9.7581,0.3483,0.0199,0.0163,0.2367,0.108
TP,iccad1,layercam,30,3,0.3273,0.0264,0.0216,0.2643,0.0728,0.2636,0.0149,0.0123,0.178,0.0856,0.1127,0.0118,0.0099,0.0815,0.0312,4.995,0.515,0.4312,9.0683,-4.3853,0.0,0.48,0.4525,0.0,0.0,0.0,0.797,0.7514,0.0,0.0,0.5385,0.1035,0.09,0.29,0.2387,14.881,4.8165,4.0193,7.7387,7.1423,0.3304,0.0164,0.0134,0.2638,0.0818
TP,iccad1,occlusion,10,3,0.5068,0.0326,0.0271,0.2569,0.2499,0.2914,0.048,0.0436,0.1779,0.1245,0.16,0.0129,0.0105,0.0796,0.0804,3.684,0.237,0.2227,9.5053,-5.8213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2644,0.0978,0.0814,0.1085,0.1801,21.921,3.9855,3.2758,7.1615,15.0721,0.4303,0.0339,0.0295,0.2529,0.1784
TP,iccad1,occlusion,20,3,0.4251,0.0072,0.0059,0.2385,0.1947,0.2393,0.0306,0.0277,0.1643,0.075,0.13,0.0066,0.0054,0.0785,0.0567,4.899,0.1615,0.1491,9.6877,-4.8027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087,0.1008,0.0824,0.191,0.2294,16.941,1.3455,1.169,7.2819,9.6591,0.3714,0.0083,0.0069,0.2367,0.1366
TP,iccad1,occlusion,30,3,0.3644,0.0259,0.0217,0.2643,0.1226,0.254,0.0257,0.0219,0.178,0.076,0.1095,0.0081,0.0071,0.0815,0.0386,5.859,0.6575,0.5775,9.0683,-4.3183,0.0,0.5,0.4714,0.0,0.0,0.0,0.8305,0.783,0.0,0.0,0.5085,0.0417,0.038,0.29,0.2167,13.884,1.3285,1.1208,7.7387,6.1453,0.34,0.0237,0.0198,0.2638,0.1001
TP,iccad2,gradcam,10,3,0.5339,0.086,0.0734,0.3295,0.1982,0.2316,0.0741,0.0607,0.1384,0.0932,0.1263,0.0558,0.0495,0.0671,0.0592,2.148,0.1135,0.0985,5.6186,-3.2866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0574,0.023,0.0192,0.1101,-0.0365,8.768,3.7865,3.1144,14.7135,-5.3009,0.5317,0.0262,0.0217,0.329,0.1961
TP,iccad2,gradcam,20,3,0.415,0.0641,0.0598,0.3287,0.1181,0.2143,0.0446,0.0382,0.1496,0.0801,0.1172,0.0332,0.0281,0.0713,0.0459,2.686,0.198,0.1617,5.4798,-2.8299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1291,0.0575,0.0469,0.2048,-0.0757,9.865,4.584,3.7534,15.2702,-5.4736,0.4591,0.0214,0.0193,0.3345,0.1617
TP,iccad2,gradcam,30,3,0.385,0.0365,0.0327,0.3304,0.0642,0.2003,0.035,0.0318,0.1489,0.0604,0.0907,0.0324,0.0301,0.0709,0.0216,2.962,0.455,0.3882,5.1972,-2.1062,0.0,0.0209,0.0197,0.0,0.0,0.0,0.033,0.0311,0.0,0.0,0.2399,0.0959,0.0783,0.3151,-0.0752,12.223,5.1815,4.2363,14.9957,-3.5128,0.4327,0.0266,0.0223,0.3326,0.122
TP,iccad2,gradcam_plus,10,3,0.0269,0.0313,0.0271,0.3295,-0.2917,0.0707,0.0415,0.034,0.1384,-0.0677,0.0207,0.0166,0.0139,0.0671,-0.0535,11.428,1.1825,1.0456,5.6186,5.8883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0398,0.0168,0.0145,0.1101,-0.0703,5.978,2.69,2.3065,14.7135,-10.2394,0.0964,0.0214,0.0175,0.329,-0.2326
TP,iccad2,gradcam_plus,20,3,0.0867,0.0151,0.0137,0.3287,-0.2258,0.0686,0.0633,0.0538,0.1496,-0.0656,0.0271,0.019,0.0166,0.0713,-0.0504,9.614,0.997,0.8153,5.4798,4.1342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1121,0.0118,0.0098,0.2048,-0.0924,8.57,1.2955,1.0671,15.2702,-5.9602,0.1254,0.0329,0.0306,0.3345,-0.172
TP,iccad2,gradcam_plus,30,3,0.1651,0.0816,0.0684,0.3304,-0.1668,0.0667,0.0518,0.0453,0.1489,-0.0732,0.0343,0.0234,0.0214,0.0709,-0.0356,8.736,0.474,0.4112,5.1972,3.6678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2021,0.0597,0.0488,0.3151,-0.113,10.297,3.355,2.7554,14.9957,-5.4388,0.2061,0.0672,0.0549,0.3326,-0.1265
TP,iccad2,layercam,10,3,0.4777,0.0216,0.0195,0.3295,0.1677,0.2248,0.0566,0.053,0.1384,0.0918,0.111,0.0658,0.0615,0.0671,0.0441,1.893,0.0995,0.0903,5.6186,-3.738,0.0,0.0209,0.0197,0.0,0.0,0.0,0.0995,0.0938,0.0,0.0,0.1538,0.0549,0.0485,0.1101,0.0424,20.725,8.4695,7.0868,14.7135,6.0115,0.4502,0.0212,0.0186,0.329,0.1146
TP,iccad2,layercam,20,3,0.4212,0.0191,0.0157,0.3287,0.1008,0.2079,0.0565,0.0515,0.1496,0.0659,0.0974,0.0522,0.0483,0.0713,0.03,2.249,0.116,0.1011,5.4798,-3.0398,0.0,0.5,0.4714,0.0,0.0,0.0,1.196,1.1276,0.0,0.0,0.284,0.0358,0.0302,0.2048,0.088,19.133,2.89,2.4261,15.2702,6.1968,0.3957,0.0281,0.0232,0.3345,0.0778
TP,iccad2,layercam,30,3,0.3837,0.0172,0.0141,0.3304,0.0547,0.1892,0.0477,0.0449,0.1489,0.0493,0.0919,0.0455,0.0421,0.0709,0.0217,2.783,0.132,0.1096,5.1972,-2.3752,0.0,0.5,0.4714,0.0,0.0,0.0,0.797,0.7514,0.0,0.0,0.4571,0.0535,0.045,0.3151,0.1358,20.527,2.89,2.4539,14.9957,6.3885,0.3741,0.0237,0.0194,0.3326,0.0415
TP,iccad2,occlusion,10,3,0.4595,0.0207,0.0177,0.3295,0.1334,0.2218,0.0708,0.0653,0.1384,0.0834,0.1092,0.0605,0.0564,0.0671,0.0421,2.29,0.2395,0.223,5.6186,-3.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1568,0.0203,0.0166,0.1101,0.0454,21.124,3.288,2.9302,14.7135,6.4105,0.4303,0.0252,0.0211,0.329,0.11
TP,iccad2,occlusion,20,3,0.5047,0.0265,0.0217,0.3287,0.1846,0.1932,0.0582,0.0529,0.1496,0.0499,0.1041,0.0508,0.0455,0.0713,0.0328,2.572,0.197,0.1733,5.4798,-2.5738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2321,0.0285,0.0237,0.2048,0.0273,17.738,2.89,2.5066,15.2702,2.3994,0.4713,0.022,0.0181,0.3345,0.1571
TP,iccad2,occlusion,30,3,0.5089,0.0341,0.0283,0.3304,0.1964,0.173,0.0411,0.0377,0.1489,0.0288,0.0976,0.0346,0.0314,0.0709,0.0267,3.107,0.3375,0.28,5.1972,-2.1932,0.0,0.5,0.4714,0.0,0.0,0.0,0.797,0.7514,0.0,0.0,0.3117,0.0609,0.0517,0.3151,0.0062,15.612,3.9525,3.2589,14.9957,0.6163,0.4723,0.0293,0.0254,0.3326,0.1616
TP,iccad3,gradcam,10,3,0.5851,0.0684,0.0567,0.2619,0.368,0.2585,0.0434,0.0369,0.1683,0.0552,0.1082,0.0036,0.003,0.0635,0.0499,1.857,0.205,0.1834,7.0109,-5.1539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2622,0.0068,0.0057,0.0862,0.1696,33.28,11.8575,10.3027,10.7291,22.5509,0.4408,0.0394,0.0355,0.2674,0.1808
TP,iccad3,gradcam,20,3,0.4699,0.0423,0.0353,0.26,0.231,0.3224,0.0789,0.0678,0.1772,0.1452,0.1069,0.0109,0.0091,0.0625,0.0495,2.011,0.3555,0.2915,7.3493,-5.6363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4388,0.0752,0.0618,0.2089,0.2185,25.012,13.5025,12.1069,12.3048,12.7072,0.4284,0.0448,0.0372,0.2616,0.1921
TP,iccad3,gradcam,30,3,0.3947,0.0315,0.0267,0.2501,0.1738,0.3299,0.0751,0.0673,0.1622,0.1536,0.0967,0.0071,0.0066,0.0611,0.044,2.373,0.2955,0.248,7.4441,-5.4881,0.0,0.3958,0.3732,0.0,0.0,0.0,0.631,0.5949,0.0,0.0,0.7115,0.024,0.0204,0.3066,0.4069,31.622,10.0645,8.551,13.3876,18.2344,0.3962,0.0286,0.0235,0.2513,0.1671
TP,iccad3,gradcam_plus,10,3,0.5536,0.0886,0.078,0.2619,0.3184,0.347,0.0896,0.081,0.1683,0.1437,0.1114,0.021,0.0172,0.0635,0.0479,1.577,1.3485,1.252,7.0109,-5.4339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0612,0.0277,0.0226,0.0862,-0.025,7.772,1.8935,1.5467,10.7291,-2.9571,0.4477,0.0391,0.0331,0.2674,0.2002
TP,iccad3,gradcam_plus,20,3,0.4681,0.0767,0.0636,0.26,0.2292,0.313,0.0849,0.0734,0.1772,0.1164,0.099,0.0081,0.0068,0.0625,0.0415,1.8,1.322,1.2438,7.3493,-5.5603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1962,0.1084,0.089,0.2089,0.0166,12.456,4.7335,3.8854,12.3048,1.2842,0.4364,0.042,0.0355,0.2616,0.1971
TP,iccad3,gradcam_plus,30,3,0.4371,0.0798,0.0654,0.2501,0.2162,0.3222,0.0887,0.0764,0.1622,0.1298,0.1032,0.0108,0.009,0.0611,0.0421,1.901,1.261,1.1821,7.4441,-5.5431,0.0,0.0416,0.0393,0.0,0.0,0.0,0.0665,0.0627,0.0,0.0,0.4757,0.0765,0.0714,0.3066,0.1529,20.129,1.5945,1.3113,13.3876,6.7414,0.4245,0.0466,0.0423,0.2513,0.1808
TP,iccad3,layercam,10,3,0.503,0.0116,0.0098,0.2619,0.2411,0.3246,0.061,0.0573,0.1683,0.1221,0.113,0.0027,0.0024,0.0635,0.0495,1.892,0.131,0.1098,7.0109,-5.1189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1206,0.0536,0.0443,0.0862,0.0367,13.75,12.3555,10.3797,10.7291,4.3751,0.4338,0.021,0.0178,0.2674,0.1774
TP,iccad3,layercam,20,3,0.47,0.0042,0.0038,0.26,0.2025,0.3073,0.0566,0.0529,0.1772,0.1107,0.1017,0.0027,0.0022,0.0625,0.0374,2.227,0.0625,0.0518,7.3493,-5.1223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264,0.0308,0.0252,0.2089,0.0543,15.047,7.125,6.6711,12.3048,3.6762,0.4061,0.0076,0.0069,0.2616,0.1456
TP,iccad3,layercam,30,3,0.4418,0.0038,0.0034,0.2501,0.1917,0.2918,0.0508,0.0459,0.1622,0.0994,0.1,0.0013,0.0011,0.0611,0.0389,2.416,0.057,0.0486,7.4441,-5.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4458,0.0247,0.0202,0.3066,0.1534,17.87,7.0085,6.3997,13.3876,6.0502,0.3822,0.0007,0.0006,0.2513,0.1309
TP,iccad3,occlusion,10,3,0.5165,0.0771,0.0659,0.2619,0.2907,0.346,0.0842,0.0757,0.1683,0.1596,0.1192,0.0163,0.0142,0.0635,0.0613,1.789,0.592,0.5137,7.0109,-5.4449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.0638,0.0525,0.0862,-0.0349,5.58,12.555,10.7655,10.7291,-3.7949,0.4549,0.0478,0.0398,0.2674,0.2191
TP,iccad3,occlusion,20,3,0.4443,0.0312,0.0256,0.26,0.2054,0.296,0.0687,0.0598,0.1772,0.1188,0.1033,0.0069,0.0057,0.0625,0.0459,2.708,0.1885,0.1584,7.3493,-4.9093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3129,0.0857,0.0741,0.2089,0.0926,17.838,11.5095,9.6696,12.3048,5.5332,0.4055,0.0175,0.0145,0.2616,0.1559
TP,iccad3,occlusion,30,3,0.3922,0.0134,0.0118,0.2501,0.1421,0.2704,0.0522,0.0479,0.1622,0.0836,0.0931,0.002,0.0017,0.0611,0.032,3.296,0.057,0.0488,7.4441,-4.0601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4909,0.0645,0.0599,0.3066,0.1843,18.8,8.37,7.2367,13.3876,7.9102,0.358,0.0063,0.0053,0.2513,0.1102
TP,iccad4,gradcam,10,3,0.4265,0.0279,0.0256,0.1727,0.2508,0.3802,0.0738,0.0659,0.1801,0.2037,0.1078,0.0103,0.0085,0.0419,0.055,1.704,0.729,0.677,10.7692,-7.6522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2764,0.1069,0.0877,0.098,0.1718,24.711,8.2705,7.4109,9.453,14.4211,0.4152,0.033,0.0287,0.1796,0.1972
TP,iccad4,gradcam,20,3,0.4708,0.0217,0.02,0.1934,0.2382,0.3551,0.0834,0.0701,0.1844,0.1707,0.1124,0.0151,0.0126,0.0466,0.063,1.94,0.968,0.8549,9.9857,-6.3867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4832,0.2664,0.2263,0.2119,0.2713,23.119,11.709,10.3881,10.6706,11.4232,0.3471,0.0508,0.0423,0.1919,0.1788
TP,iccad4,gradcam,30,3,0.4266,0.0495,0.041,0.1917,0.2367,0.3408,0.0725,0.0613,0.1952,0.1449,0.0953,0.0173,0.0144,0.0467,0.0547,2.402,1.261,1.0649,9.7213,-5.4813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6395,0.2099,0.1841,0.3085,0.331,28.167,8.3705,7.088,9.7569,14.851,0.308,0.058,0.0516,0.1898,0.1553
TP,iccad4,gradcam_plus,10,3,0.1758,0.2239,0.1872,0.1727,-0.0489,0.2218,0.1712,0.1464,0.1801,0.0453,0.0845,0.0549,0.0453,0.0419,0.0289,7.643,5.249,4.2971,10.7692,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1161,0.2669,0.241,0.098,0.0233,15.345,26.8035,23.3123,9.453,3.3269,0.2293,0.1078,0.0882,0.1796,-0.0008
TP,iccad4,gradcam_plus,20,3,0.2634,0.1034,0.0866,0.1934,0.0289,0.205,0.1473,0.1339,0.1844,0.0206,0.0829,0.0276,0.0228,0.0466,0.0246,7.386,3.4275,2.8965,9.9857,-0.7567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3197,0.3115,0.2919,0.2119,0.1172,20.628,16.3925,14.0434,10.6706,8.0044,0.2445,0.0625,0.051,0.1919,0.0069
TP,iccad4,gradcam_plus,30,3,0.2564,0.0666,0.0587,0.1917,0.0451,0.2437,0.097,0.0878,0.1952,0.0485,0.0672,0.0136,0.0112,0.0467,0.0102,7.035,2.1585,1.9325,9.7213,-2.2093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4183,0.3087,0.2809,0.3085,0.0999,16.409,10.463,8.9434,9.7569,3.093,0.2426,0.0359,0.0294,0.1898,0.0218
TP,iccad4,layercam,10,3,0.3617,0.0533,0.0452,0.1727,0.137,0.3826,0.0943,0.0771,0.1801,0.2025,0.0837,0.0068,0.0058,0.0419,0.0378,2.914,0.1855,0.1747,10.7692,-7.8552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3887,0.0603,0.0551,0.098,0.2907,36.469,2.69,2.2367,9.453,24.4509,0.3495,0.0151,0.0124,0.1796,0.1876
TP,iccad4,layercam,20,3,0.3376,0.0332,0.0304,0.1934,0.1426,0.3358,0.0694,0.0567,0.1844,0.1473,0.0749,0.0039,0.0033,0.0466,0.0283,3.812,0.374,0.3272,9.9857,-6.1737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6275,0.0506,0.0425,0.2119,0.4063,30.892,4.7335,3.8962,10.6706,20.2214,0.3245,0.0122,0.0109,0.1919,0.1326
TP,iccad4,layercam,30,3,0.3063,0.0309,0.0256,0.1917,0.1146,0.3066,0.0541,0.0442,0.1952,0.1114,0.0703,0.0073,0.0059,0.0467,0.0236,4.399,0.5265,0.4564,9.7213,-5.3223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7524,0.0421,0.0346,0.3085,0.434,26.373,5.4475,4.4483,9.7569,16.6161,0.3014,0.0202,0.0169,0.1898,0.1116
TP,iccad4,occlusion,10,3,0.3665,0.0129,0.0105,0.1727,0.1812,0.3404,0.0853,0.07,0.1801,0.1603,0.0925,0.0044,0.0038,0.0419,0.0436,3.28,0.297,0.2517,10.7692,-7.0492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.0764,0.0678,0.098,0.3329,40.255,4.3845,3.5849,9.453,28.2369,0.3166,0.0126,0.0114,0.1796,0.137
TP,iccad4,occlusion,20,3,0.3737,0.0433,0.0389,0.1934,0.1636,0.3311,0.0439,0.0377,0.1844,0.1426,0.0911,0.0103,0.0092,0.0466,0.0404,3.956,0.613,0.5063,9.9857,-6.0297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5098,0.0075,0.007,0.2119,0.2889,25.112,6.577,5.4517,10.6706,14.4414,0.3261,0.0294,0.0268,0.1919,0.1342
TP,iccad4,occlusion,30,3,0.3171,0.063,0.0516,0.1917,0.1335,0.2801,0.03,0.0248,0.1952,0.0849,0.0755,0.0151,0.0124,0.0467,0.0314,5.221,0.953,0.8845,9.7213,-4.4393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.549,0.068,0.0639,0.3085,0.2405,22.454,4.5175,3.9161,9.7569,10.865,0.289,0.0421,0.0344,0.1898,0.0992
TP,iccad5,gradcam,10,3,0.2995,0.0307,0.0262,0.226,0.0735,0.2395,0.0365,0.0315,0.184,0.0284,0.0735,0.0076,0.0062,0.059,0.0126,4.172,2.414,2.1989,6.1155,-2.0256,0.4762,0.3125,0.2666,0.1,0.3762,1.993,1.4945,1.2427,0.4102,1.5828,0.107,0.0148,0.0123,0.1136,-0.0066,13.75,3.587,3.1733,16.6014,-0.5602,0.3137,0.0182,0.0159,0.221,0.0627
TP,iccad5,gradcam,20,3,0.2979,0.0217,0.0182,0.2373,0.0482,0.228,0.0089,0.0074,0.1899,0.0381,0.0796,0.0021,0.0019,0.0616,0.0142,4.745,1.9095,1.6929,6.016,-1.6672,0.625,0.5,0.4125,0.1667,0.4583,1.495,1.0465,0.8802,0.3907,1.1043,0.2522,0.0281,0.023,0.2027,0.0417,19.93,5.2815,4.3621,16.263,3.6312,0.3033,0.012,0.0099,0.2374,0.0502
TP,iccad5,gradcam,30,3,0.2979,0.0115,0.0106,0.2286,0.0476,0.2273,0.0098,0.0087,0.1858,0.0415,0.0724,0.0019,0.0016,0.0599,0.0125,4.665,1.7565,1.6553,6.0821,-1.4171,0.625,0.5,0.4125,0.2333,0.225,0.996,0.6975,0.5866,0.319,0.3712,0.4907,0.0282,0.0254,0.3136,0.186,25.576,3.222,2.6597,15.46,10.116,0.2821,0.0094,0.0082,0.2287,0.0376
TP,iccad5,gradcam_plus,10,3,0.2995,0.0307,0.0262,0.226,0.0735,0.2395,0.0365,0.0315,0.184,0.0284,0.0735,0.0076,0.0062,0.059,0.0126,4.172,2.414,2.1989,6.1155,-2.0256,0.4762,0.3125,0.2666,0.1,0.3762,1.993,1.4945,1.2427,0.4102,1.5828,0.107,0.0148,0.0123,0.1136,-0.0066,13.75,3.587,3.1733,16.6014,-0.5602,0.3137,0.0182,0.0159,0.221,0.0627
TP,iccad5,gradcam_plus,20,3,0.2979,0.0217,0.0182,0.2373,0.0482,0.228,0.0089,0.0074,0.1899,0.0381,0.0796,0.0021,0.0019,0.0616,0.0142,4.745,1.9095,1.6929,6.016,-1.6672,0.625,0.5,0.4125,0.1667,0.4583,1.495,1.0465,0.8802,0.3907,1.1043,0.2522,0.0281,0.023,0.2027,0.0417,19.93,5.2815,4.3621,16.263,3.6312,0.3033,0.012,0.0099,0.2374,0.0502
TP,iccad5,gradcam_plus,30,3,0.2979,0.0115,0.0106,0.2286,0.0476,0.2273,0.0098,0.0087,0.1858,0.0415,0.0724,0.0019,0.0016,0.0599,0.0125,4.665,1.7565,1.6553,6.0821,-1.4171,0.625,0.5,0.4125,0.2333,0.225,0.996,0.6975,0.5866,0.319,0.3712,0.4907,0.0282,0.0254,0.3136,0.186,25.576,3.222,2.6597,15.46,10.116,0.2821,0.0094,0.0082,0.2287,0.0376
TP,iccad5,layercam,10,3,0.2995,0.0307,0.0262,0.226,0.0735,0.2395,0.0365,0.0315,0.184,0.0284,0.0735,0.0076,0.0062,0.059,0.0126,4.172,2.414,2.1989,6.1155,-2.0256,0.4762,0.3125,0.2666,0.1,0.3762,1.993,1.4945,1.2427,0.4102,1.5828,0.107,0.0148,0.0123,0.1136,-0.0066,13.75,3.587,3.1733,16.6014,-0.5602,0.3137,0.0182,0.0159,0.221,0.0627
TP,iccad5,layercam,20,3,0.2979,0.0217,0.0182,0.2373,0.0482,0.228,0.0089,0.0074,0.1899,0.0381,0.0796,0.0021,0.0019,0.0616,0.0142,4.745,1.9095,1.6929,6.016,-1.6672,0.625,0.5,0.4125,0.1667,0.4583,1.495,1.0465,0.8802,0.3907,1.1043,0.2522,0.0281,0.023,0.2027,0.0417,19.93,5.2815,4.3621,16.263,3.6312,0.3033,0.012,0.0099,0.2374,0.0502
TP,iccad5,layercam,30,3,0.2979,0.0115,0.0106,0.2286,0.0476,0.2273,0.0098,0.0087,0.1858,0.0415,0.0724,0.0019,0.0016,0.0599,0.0125,4.665,1.7565,1.6553,6.0821,-1.4171,0.625,0.5,0.4125,0.2333,0.225,0.996,0.6975,0.5866,0.319,0.3712,0.4907,0.0282,0.0254,0.3136,0.186,25.576,3.222,2.6597,15.46,10.116,0.2821,0.0094,0.0082,0.2287,0.0376
TP,iccad5,occlusion,10,3,0.2995,0.0307,0.0262,0.226,0.0735,0.2395,0.0365,0.0315,0.184,0.0284,0.0735,0.0076,0.0062,0.059,0.0126,4.172,2.414,2.1989,6.1155,-2.0256,0.4762,0.3125,0.2666,0.1,0.3762,1.993,1.4945,1.2427,0.4102,1.5828,0.107,0.0148,0.0123,0.1136,-0.0066,13.75,3.587,3.1733,16.6014,-0.5602,0.3137,0.0182,0.0159,0.221,0.0627
TP,iccad5,occlusion,20,3,0.2979,0.0217,0.0182,0.2373,0.0482,0.228,0.0089,0.0074,0.1899,0.0381,0.0796,0.0021,0.0019,0.0616,0.0142,4.745,1.9095,1.6929,6.016,-1.6672,0.625,0.5,0.4125,0.1667,0.4583,1.495,1.0465,0.8802,0.3907,1.1043,0.2522,0.0281,0.023,0.2027,0.0417,19.93,5.2815,4.3621,16.263,3.6312,0.3033,0.012,0.0099,0.2374,0.0502
TP,iccad5,occlusion,30,3,0.2979,0.0115,0.0106,0.2286,0.0476,0.2273,0.0098,0.0087,0.1858,0.0415,0.0724,0.0019,0.0016,0.0599,0.0125,4.665,1.7565,1.6553,6.0821,-1.4171,0.625,0.5,0.4125,0.2333,0.225,0.996,0.6975,0.5866,0.319,0.3712,0.4907,0.0282,0.0254,0.3136,0.186,25.576,3.222,2.6597,15.46,10.116,0.2821,0.0094,0.0082,0.2287,0.0376
