method,level_pct,feature,tp_n,fp_n,tp_n_degenerate_excluded,fp_n_degenerate_excluded,tp_median,tp_iqr,tp_mean,tp_std,fp_median,fp_iqr,fp_mean,fp_std,mannwhitney_u,p_value,auc_tp_vs_fp,cliffs_delta
layercam,20,mean_boundary_distance_px,15,15,0,0,3.812,2.164,3.7151,1.5744,2.894,1.685,3.2612,1.1542,126.0,0.5897385933186072,0.56,0.12
layercam,30,mean_local_width_px,15,15,0,0,5.395,0.212,6.0026,1.2694,5.728,0.683,6.054,1.0132,92.0,0.4067868333984651,0.4089,-0.1822
layercam,30,mean_local_gap_px,15,15,0,0,12.979,5.045,12.0604,4.0642,10.687,3.004,11.1449,3.0773,125.0,0.6186695570822622,0.5556,0.1111
layercam,30,mean_local_density,15,15,0,0,0.3304,0.0846,0.332,0.0433,0.3666,0.0468,0.361,0.0509,80.0,0.1844100692216365,0.3556,-0.2889
layercam,30,mean_boundary_distance_px,15,15,0,0,4.399,1.936,4.0707,1.5352,3.44,1.3795,3.7471,1.1925,123.0,0.6783024655972324,0.5467,0.0933
occlusion,10,mean_local_width_px,15,15,0,0,5.378,0.241,6.0821,1.5324,5.415,0.574,6.1063,1.584,108.0,0.8681969330621228,0.48,-0.04
occlusion,10,mean_local_gap_px,15,15,0,0,8.883,3.4765,9.9268,4.6376,9.379,8.029,9.2747,4.0357,113.0,1.0,0.5022,0.0044
occlusion,10,mean_local_density,15,15,0,0,0.3951,0.1196,0.3884,0.0661,0.4359,0.1293,0.4094,0.0785,92.5,0.41851381169736,0.4111,-0.1778
occlusion,10,mean_boundary_distance_px,15,15,0,0,3.213,1.4075,3.3255,1.6329,3.036,2.753,3.1202,1.3824,115.0,0.9338864180775845,0.5111,0.0222
occlusion,20,mean_local_width_px,15,15,0,0,5.402,2.1645,6.487,1.582,5.743,2.333,6.5924,1.6453,108.0,0.8682259903524354,0.48,-0.04
occlusion,20,mean_local_gap_px,15,15,0,0,12.726,5.22,11.9113,4.1571,12.118,5.0785,11.7791,2.8762,104.0,0.7400217511938185,0.4622,-0.0756
occlusion,20,mean_local_density,15,15,0,0,0.3714,0.0927,0.372,0.0661,0.3784,0.1164,0.3774,0.0686,107.0,0.8357050269952793,0.4756,-0.0489
occlusion,20,mean_boundary_distance_px,15,15,0,0,3.956,2.0525,4.0115,1.4567,3.88,1.738,3.9608,1.0813,107.0,0.8357050269952793,0.4756,-0.0489
occlusion,30,mean_local_width_px,15,15,0,0,5.343,3.1245,6.6598,1.7199,5.646,3.248,6.7443,1.7374,112.0,1.0,0.4978,-0.0044
occlusion,30,mean_local_gap_px,15,15,0,0,13.124,4.8755,13.0872,4.0346,13.481,4.5745,13.3607,2.6527,97.0,0.5337839128515283,0.4311,-0.1378
occlusion,30,mean_local_density,15,15,0,0,0.34,0.0801,0.3511,0.0763,0.3516,0.0969,0.3529,0.0682,107.5,0.8519177555606353,0.4778,-0.0444
occlusion,30,mean_boundary_distance_px,15,15,0,0,4.662,1.9155,4.5025,1.4143,4.414,1.3845,4.5609,1.0698,104.0,0.7400217511938185,0.4622,-0.0756
