benchmark,sample_id,case_type,method,level_pct,is_degenerate_map,mean_local_width_px,mean_local_gap_px,mean_local_density,mean_boundary_distance_px,n_geometry_px_in_mask,n_background_px_in_mask,mask_area_px
iccad1,NHS68_9,FP,occlusion,20,False,9.391,12.653,0.3896,4.573,4685,5350,10035
iccad1,NHS68_9,FP,gradcam,30,False,4.149,13.402,0.3202,5.052,2151,12902,15053
iccad1,NHS68_9,FP,gradcam_plus,30,False,4.961,16.88,0.2673,6.583,2196,12857,15053
iccad1,NHS68_9,FP,layercam,30,False,7.718,12.194,0.359,4.297,5464,9589,15053
iccad1,NHS68_9,FP,occlusion,30,False,8.774,17.327,0.3255,6.059,5694,9359,15053
iccad1,NHS32_4,FP,gradcam,10,False,3.57,11.998,0.3694,4.724,340,4678,5018
iccad1,NHS32_4,FP,gradcam_plus,10,False,4.688,19.683,0.2526,7.774,722,4296,5018
iccad1,NHS32_4,FP,layercam,10,False,7.144,10.997,0.3544,3.781,1912,3106,5018
iccad1,NHS32_4,FP,occlusion,10,False,10.363,14.058,0.3933,5.158,2394,2624,5018
iccad1,NHS32_4,FP,gradcam,20,False,4.314,12.978,0.3318,5.157,794,9241,10035
iccad1,NHS32_4,FP,gradcam_plus,20,False,5.007,18.678,0.2385,7.588,1121,8914,10035
iccad1,NHS32_4,FP,layercam,20,False,8.089,12.077,0.3444,4.313,3738,6297,10035
iccad1,NHS32_4,FP,occlusion,20,False,10.339,16.675,0.3526,6.071,4062,5973,10035
iccad1,NHS32_4,FP,gradcam,30,False,5.257,13.89,0.3103,5.384,2000,13053,15053
iccad1,NHS32_4,FP,gradcam_plus,30,False,5.361,18.611,0.2277,7.623,1583,13470,15053
iccad1,NHS32_4,FP,layercam,30,False,8.427,13.115,0.3301,4.739,5367,9686,15053
iccad1,NHS32_4,FP,occlusion,30,False,9.9,17.096,0.3231,6.292,5343,9710,15053
iccad2,HSCAD216,TP,gradcam,10,False,6.542,5.55,0.5496,2.105,3338,1680,5018
iccad2,HSCAD216,TP,gradcam_plus,10,False,2.493,29.203,0.075,13.462,73,4945,5018
iccad2,HSCAD216,TP,layercam,10,False,5.458,6.061,0.4568,1.893,2378,2640,5018
iccad2,HSCAD216,TP,occlusion,10,False,5.378,7.625,0.4303,2.302,2306,2712,5018
iccad2,HSCAD216,TP,gradcam,20,False,6.586,8.295,0.4977,2.686,5423,4612,10035
iccad2,HSCAD216,TP,gradcam_plus,20,False,8.253,24.758,0.1235,10.708,870,9165,10035
iccad2,HSCAD216,TP,layercam,20,False,5.581,7.036,0.4313,2.208,4373,5662,10035
iccad2,HSCAD216,TP,occlusion,20,False,7.229,6.772,0.4985,2.512,5364,4671,10035
iccad2,HSCAD216,TP,gradcam,30,False,6.887,8.768,0.47,2.962,6771,8282,15053
iccad2,HSCAD216,TP,gradcam_plus,30,False,11.619,22.426,0.2758,8.736,4201,10852,15053
iccad2,HSCAD216,TP,layercam,30,False,5.613,8.539,0.3966,2.693,6047,9006,15053
iccad2,HSCAD216,TP,occlusion,30,False,8.08,7.323,0.5196,2.875,8335,6718,15053
iccad2,HSCAD2146,TP,gradcam,10,False,6.915,6.364,0.5317,2.332,2679,2339,5018
iccad2,HSCAD2146,TP,gradcam_plus,10,False,4.676,26.436,0.1178,11.428,387,4631,5018
iccad2,HSCAD2146,TP,layercam,10,False,5.333,5.504,0.4502,1.71,2595,2423,5018
iccad2,HSCAD2146,TP,occlusion,10,False,5.228,5.988,0.4456,1.823,2354,2664,5018
iccad2,HSCAD2146,TP,gradcam,20,False,7.085,8.252,0.4549,2.889,4137,5898,10035
iccad2,HSCAD2146,TP,gradcam_plus,20,False,5.035,21.206,0.1893,8.714,1152,8883,10035
iccad2,HSCAD2146,TP,layercam,20,False,5.301,7.343,0.3957,2.249,4227,5808,10035
iccad2,HSCAD2146,TP,occlusion,20,False,7.393,6.867,0.4713,2.572,5065,4970,10035
iccad2,HSCAD2146,TP,gradcam,30,False,7.188,10.626,0.4168,3.656,5796,9257,15053
iccad2,HSCAD2146,TP,gradcam_plus,30,False,5.094,20.389,0.2061,7.967,2486,12567,15053
iccad2,HSCAD2146,TP,layercam,30,False,5.473,8.832,0.3741,2.783,5776,9277,15053
iccad2,HSCAD2146,TP,occlusion,30,False,8.704,9.45,0.461,3.55,7310,7743,15053
iccad2,HSCAD2155,TP,gradcam,10,False,5.658,6.915,0.4973,2.148,2475,2543,5018
iccad2,HSCAD2155,TP,gradcam_plus,10,False,2.459,24.681,0.0964,11.097,135,4883,5018
iccad2,HSCAD2155,TP,layercam,10,False,5.367,6.203,0.4144,1.909,2397,2621,5018
iccad2,HSCAD2155,TP,occlusion,10,False,5.212,7.579,0.3951,2.29,2146,2872,5018
iccad2,HSCAD2155,TP,gradcam,20,False,5.94,7.719,0.4591,2.493,4165,5870,10035
iccad2,HSCAD2155,TP,gradcam_plus,20,False,4.58,22.669,0.1254,9.614,850,9185,10035
iccad2,HSCAD2155,TP,layercam,20,False,5.429,7.798,0.3752,2.44,3991,6044,10035
iccad2,HSCAD2155,TP,occlusion,20,False,7.506,8.077,0.4545,2.906,4832,5203,10035
iccad2,HSCAD2155,TP,gradcam,30,False,6.109,8.32,0.4327,2.746,5671,9382,15053
iccad2,HSCAD2155,TP,gradcam_plus,30,False,5.185,21.65,0.1414,8.915,1745,13308,15053
iccad2,HSCAD2155,TP,layercam,30,False,5.517,9.258,0.3492,2.957,5527,9526,15053
iccad2,HSCAD2155,TP,occlusion,30,False,8.146,8.262,0.4723,3.107,7661,7392,15053
