benchmark,sample_id,case_type,method,level_pct,is_degenerate_map,mean_local_width_px,mean_local_gap_px,mean_local_density,mean_boundary_distance_px,n_geometry_px_in_mask,n_background_px_in_mask,mask_area_px
iccad4,NHSCAD418_6,FP,layercam,20,False,5.323,9.026,0.378,2.945,3179,6856,10035
iccad4,NHSCAD418_6,FP,occlusion,20,False,5.151,14.024,0.2947,4.715,2984,7051,10035
iccad4,NHSCAD418_6,FP,gradcam,30,False,5.109,6.796,0.4274,2.055,6294,8759,15053
iccad4,NHSCAD418_6,FP,gradcam_plus,30,True,5.234,44.078,0.2131,16.84,3262,11791,15053
iccad4,NHSCAD418_6,FP,layercam,30,False,5.235,10.366,0.3666,3.4,4691,10362,15053
iccad4,NHSCAD418_6,FP,occlusion,30,False,5.222,14.037,0.3088,4.703,4568,10485,15053
iccad4,NHSCAD4147_4,FP,gradcam,10,False,4.616,6.428,0.431,1.864,1990,3028,5018
iccad4,NHSCAD4147_4,FP,gradcam_plus,10,True,4.271,14.903,0.2871,5.291,1115,3903,5018
iccad4,NHSCAD4147_4,FP,layercam,10,False,5.179,7.431,0.3961,2.319,1857,3161,5018
iccad4,NHSCAD4147_4,FP,occlusion,10,False,5.272,9.875,0.3683,3.036,1996,3022,5018
iccad4,NHSCAD4147_4,FP,gradcam,20,False,5.145,7.667,0.3953,2.301,4336,5699,10035
iccad4,NHSCAD4147_4,FP,gradcam_plus,20,True,4.972,13.441,0.3176,4.312,3378,6657,10035
iccad4,NHSCAD4147_4,FP,layercam,20,False,5.286,9.012,0.3608,2.894,3417,6618,10035
iccad4,NHSCAD4147_4,FP,occlusion,20,False,5.245,12.118,0.3207,3.88,3504,6531,10035
iccad4,NHSCAD4147_4,FP,gradcam,30,False,5.113,8.677,0.3734,2.664,5820,9233,15053
iccad4,NHSCAD4147_4,FP,gradcam_plus,30,True,5.108,25.732,0.267,9.178,3959,11094,15053
iccad4,NHSCAD4147_4,FP,layercam,30,False,5.345,10.687,0.3382,3.53,4720,10333,15053
iccad4,NHSCAD4147_4,FP,occlusion,30,False,5.243,14.037,0.3001,4.673,4698,10355,15053
iccad4,NNHSCAD4602_8,FP,gradcam,10,False,4.863,6.371,0.412,1.929,1796,3222,5018
iccad4,NNHSCAD4602_8,FP,gradcam_plus,10,True,2.0,26.637,0.1163,11.866,192,4826,5018
iccad4,NNHSCAD4602_8,FP,layercam,10,False,5.273,7.759,0.395,2.47,1738,3280,5018
iccad4,NNHSCAD4602_8,FP,occlusion,10,False,5.241,12.635,0.3236,4.199,1552,3466,5018
iccad4,NNHSCAD4602_8,FP,gradcam,20,False,4.811,6.92,0.4097,2.087,3683,6352,10035
iccad4,NNHSCAD4602_8,FP,gradcam_plus,20,True,5.04,24.575,0.2183,8.902,2465,7570,10035
iccad4,NNHSCAD4602_8,FP,layercam,20,False,5.231,8.67,0.3613,2.81,3184,6851,10035
iccad4,NNHSCAD4602_8,FP,occlusion,20,False,5.264,12.451,0.336,3.979,3536,6499,10035
iccad4,NNHSCAD4602_8,FP,gradcam,30,False,5.18,7.396,0.399,2.262,6104,8949,15053
iccad4,NNHSCAD4602_8,FP,gradcam_plus,30,True,5.225,30.074,0.2153,11.288,3352,11701,15053
iccad4,NNHSCAD4602_8,FP,layercam,30,False,5.23,9.695,0.3423,3.195,4534,10519,15053
iccad4,NNHSCAD4602_8,FP,occlusion,30,False,5.275,13.481,0.3297,4.408,4970,10083,15053
iccad5,HSCAD50,TP,gradcam,10,True,5.053,12.437,0.3137,4.172,1429,3589,5018
iccad5,HSCAD50,TP,gradcam_plus,10,True,5.053,12.437,0.3137,4.172,1429,3589,5018
iccad5,HSCAD50,TP,layercam,10,True,5.053,12.437,0.3137,4.172,1429,3589,5018
iccad5,HSCAD50,TP,occlusion,10,True,5.053,12.437,0.3137,4.172,1429,3589,5018
iccad5,HSCAD50,TP,gradcam,20,True,5.115,14.022,0.2876,4.745,2863,7172,10035
iccad5,HSCAD50,TP,gradcam_plus,20,True,5.115,14.022,0.2876,4.745,2863,7172,10035
iccad5,HSCAD50,TP,layercam,20,True,5.115,14.022,0.2876,4.745,2863,7172,10035
iccad5,HSCAD50,TP,occlusion,20,True,5.115,14.022,0.2876,4.745,2863,7172,10035
iccad5,HSCAD50,TP,gradcam,30,True,5.127,13.674,0.2663,4.665,4157,10896,15053
iccad5,HSCAD50,TP,gradcam_plus,30,True,5.127,13.674,0.2663,4.665,4157,10896,15053
iccad5,HSCAD50,TP,layercam,30,True,5.127,13.674,0.2663,4.665,4157,10896,15053
iccad5,HSCAD50,TP,occlusion,30,True,5.127,13.674,0.2663,4.665,4157,10896,15053
iccad5,HSCAD51,TP,gradcam,10,True,5.348,11.889,0.3202,3.826,1737,3281,5018
iccad5,HSCAD51,TP,gradcam_plus,10,True,5.348,11.889,0.3202,3.826,1737,3281,5018
iccad5,HSCAD51,TP,layercam,10,True,5.348,11.889,0.3202,3.826,1737,3281,5018
iccad5,HSCAD51,TP,occlusion,10,True,5.348,11.889,0.3202,3.826,1737,3281,5018
iccad5,HSCAD51,TP,gradcam,20,True,5.282,12.968,0.3115,4.235,3297,6738,10035
iccad5,HSCAD51,TP,gradcam_plus,20,True,5.282,12.968,0.3115,4.235,3297,6738,10035
iccad5,HSCAD51,TP,layercam,20,True,5.282,12.968,0.3115,4.235,3297,6738,10035
iccad5,HSCAD51,TP,occlusion,20,True,5.282,12.968,0.3115,4.235,3297,6738,10035
iccad5,HSCAD51,TP,gradcam,30,True,5.192,13.869,0.2851,4.662,4485,10568,15053
iccad5,HSCAD51,TP,gradcam_plus,30,True,5.192,13.869,0.2851,4.662,4485,10568,15053
iccad5,HSCAD51,TP,layercam,30,True,5.192,13.869,0.2851,4.662,4485,10568,15053
iccad5,HSCAD51,TP,occlusion,30,True,5.192,13.869,0.2851,4.662,4485,10568,15053
iccad5,HSCAD510,TP,gradcam,10,True,5.521,25.194,0.2837,8.654,1503,3515,5018
iccad5,HSCAD510,TP,gradcam_plus,10,True,5.521,25.194,0.2837,8.654,1503,3515,5018
iccad5,HSCAD510,TP,layercam,10,True,5.521,25.194,0.2837,8.654,1503,3515,5018
iccad5,HSCAD510,TP,occlusion,10,True,5.521,25.194,0.2837,8.654,1503,3515,5018
iccad5,HSCAD510,TP,gradcam,20,True,5.166,23.581,0.3033,8.054,2989,7046,10035
iccad5,HSCAD510,TP,gradcam_plus,20,True,5.166,23.581,0.3033,8.054,2989,7046,10035
iccad5,HSCAD510,TP,layercam,20,True,5.166,23.581,0.3033,8.054,2989,7046,10035
iccad5,HSCAD510,TP,occlusion,20,True,5.166,23.581,0.3033,8.054,2989,7046,10035
iccad5,HSCAD510,TP,gradcam,30,True,5.316,23.892,0.2821,8.175,4506,10547,15053
iccad5,HSCAD510,TP,gradcam_plus,30,True,5.316,23.892,0.2821,8.175,4506,10547,15053
iccad5,HSCAD510,TP,layercam,30,True,5.316,23.892,0.2821,8.175,4506,10547,15053
iccad5,HSCAD510,TP,occlusion,30,True,5.316,23.892,0.2821,8.175,4506,10547,15053
iccad5,NNHSCAD5994_4,FP,gradcam,10,False,6.076,5.898,0.3554,2.019,3060,1958,5018
iccad5,NNHSCAD5994_4,FP,gradcam_plus,10,True,6.468,23.521,0.2327,8.647,1248,3770,5018
iccad5,NNHSCAD5994_4,FP,layercam,10,False,5.947,11.533,0.3362,4.216,1022,3996,5018
iccad5,NNHSCAD5994_4,FP,occlusion,10,False,5.287,13.359,0.2706,4.46,1542,3476,5018
iccad5,NNHSCAD5994_4,FP,gradcam,20,False,6.269,6.289,0.3323,2.15,6231,3804,10035
iccad5,NNHSCAD5994_4,FP,gradcam_plus,20,True,6.463,23.46,0.2382,8.602,2519,7516,10035
iccad5,NNHSCAD5994_4,FP,layercam,20,False,5.96,14.253,0.3007,5.204,2283,7752,10035
iccad5,NNHSCAD5994_4,FP,occlusion,20,False,5.743,14.67,0.2521,5.11,2823,7212,10035
iccad5,NNHSCAD5994_4,FP,gradcam,30,False,6.128,7.02,0.3238,2.274,8310,6743,15053
iccad5,NNHSCAD5994_4,FP,gradcam_plus,30,True,6.393,23.203,0.2261,8.573,3645,11408,15053
iccad5,NNHSCAD5994_4,FP,layercam,30,False,5.906,17.056,0.2713,6.29,3416,11637,15053
iccad5,NNHSCAD5994_4,FP,occlusion,30,False,5.646,17.248,0.2123,6.387,3286,11767,15053
iccad5,NHSCAD50_8,FP,gradcam,10,True,5.247,14.902,0.2805,5.055,1451,3567,5018
iccad5,NHSCAD50_8,FP,gradcam_plus,10,True,5.247,14.902,0.2805,5.055,1451,3567,5018
iccad5,NHSCAD50_8,FP,layercam,10,True,5.247,14.902,0.2805,5.055,1451,3567,5018
iccad5,NHSCAD50_8,FP,occlusion,10,True,5.247,14.902,0.2805,5.055,1451,3567,5018
iccad5,NHSCAD50_8,FP,gradcam,20,True,5.242,15.096,0.2706,5.206,2736,7299,10035
iccad5,NHSCAD50_8,FP,gradcam_plus,20,True,5.242,15.096,0.2706,5.206,2736,7299,10035
iccad5,NHSCAD50_8,FP,layercam,20,True,5.242,15.096,0.2706,5.206,2736,7299,10035
iccad5,NHSCAD50_8,FP,occlusion,20,True,5.242,15.096,0.2706,5.206,2736,7299,10035
iccad5,NHSCAD50_8,FP,gradcam,30,True,5.156,14.978,0.2526,5.211,3935,11118,15053
iccad5,NHSCAD50_8,FP,gradcam_plus,30,True,5.156,14.978,0.2526,5.211,3935,11118,15053
iccad5,NHSCAD50_8,FP,layercam,30,True,5.156,14.978,0.2526,5.211,3935,11118,15053
iccad5,NHSCAD50_8,FP,occlusion,30,True,5.156,14.978,0.2526,5.211,3935,11118,15053
iccad5,NHSCAD51_1,FP,gradcam,10,True,6.187,15.284,0.3951,4.853,1981,3037,5018
iccad5,NHSCAD51_1,FP,gradcam_plus,10,True,6.187,15.284,0.3951,4.853,1981,3037,5018
iccad5,NHSCAD51_1,FP,layercam,10,True,6.187,15.284,0.3951,4.853,1981,3037,5018
iccad5,NHSCAD51_1,FP,occlusion,10,True,6.187,15.284,0.3951,4.853,1981,3037,5018
iccad5,NHSCAD51_1,FP,gradcam,20,True,5.954,15.785,0.3784,5.055,3770,6265,10035
iccad5,NHSCAD51_1,FP,gradcam_plus,20,True,5.954,15.785,0.3784,5.055,3770,6265,10035
iccad5,NHSCAD51_1,FP,layercam,20,True,5.954,15.785,0.3784,5.055,3770,6265,10035
iccad5,NHSCAD51_1,FP,occlusion,20,True,5.954,15.785,0.3784,5.055,3770,6265,10035
iccad5,NHSCAD51_1,FP,gradcam,30,True,5.817,16.051,0.3516,5.184,5452,9601,15053
iccad5,NHSCAD51_1,FP,gradcam_plus,30,True,5.817,16.051,0.3516,5.184,5452,9601,15053
iccad5,NHSCAD51_1,FP,layercam,30,True,5.817,16.051,0.3516,5.184,5452,9601,15053
iccad5,NHSCAD51_1,FP,occlusion,30,True,5.817,16.051,0.3516,5.184,5452,9601,15053
