method,level_pct,feature,tp_n,fp_n,tp_n_degenerate_excluded,fp_n_degenerate_excluded,tp_median,tp_iqr,tp_mean,tp_std,fp_median,fp_iqr,fp_mean,fp_std,mannwhitney_u,p_value,auc_tp_vs_fp,cliffs_delta
layercam,20,mean_boundary_distance_px,12,13,3,2,2.8145,1.7592,3.2243,1.0853,2.81,1.23,2.9736,0.957,86.0,0.6833131587171801,0.5513,0.1026
layercam,30,mean_local_width_px,12,13,3,2,5.437,0.8697,6.2003,1.3481,5.728,0.805,6.1413,1.0538,73.0,0.8066362801930473,0.4679,-0.0641
layercam,30,mean_local_gap_px,12,13,3,2,10.0635,4.7538,10.7893,2.6223,10.549,1.995,10.4726,2.7373,85.0,0.7236736098317631,0.5449,0.0897
layercam,30,mean_local_density,12,13,3,2,0.3478,0.068,0.3455,0.0375,0.3669,0.0533,0.3701,0.0447,58.0,0.2888443663464849,0.3718,-0.2564
layercam,30,mean_boundary_distance_px,12,13,3,2,3.252,1.9902,3.6298,1.1356,3.437,1.009,3.524,1.1258,84.0,0.7648175395839272,0.5385,0.0769
occlusion,10,mean_local_width_px,12,13,3,2,5.3965,0.9733,6.2757,1.6548,5.415,0.208,6.1662,1.6835,77.0,0.9782947276070365,0.4936,-0.0128
occlusion,10,mean_local_gap_px,12,13,3,2,8.573,2.527,8.2818,1.977,6.99,7.703,8.3795,3.5745,80.0,0.9349733548351885,0.5128,0.0256
occlusion,10,mean_local_density,12,13,3,2,0.4243,0.0698,0.4091,0.0572,0.4615,0.1087,0.4204,0.0755,65.0,0.4964784017192848,0.4167,-0.1667
occlusion,10,mean_boundary_distance_px,12,13,3,2,2.938,1.2077,2.7692,0.7594,2.35,2.456,2.8381,1.2675,81.0,0.8918354527466616,0.5192,0.0385
occlusion,20,mean_local_width_px,12,13,3,2,6.322,2.479,6.8118,1.6124,5.743,2.341,6.7454,1.7113,85.0,0.7236736098317631,0.5449,0.0897
occlusion,20,mean_local_gap_px,12,13,3,2,10.1635,5.2817,10.6749,2.8741,10.132,3.591,11.2158,2.6734,68.0,0.6053433393365069,0.4359,-0.1282
occlusion,20,mean_local_density,12,13,3,2,0.3824,0.0699,0.3898,0.0621,0.3896,0.1109,0.3855,0.067,80.0,0.9349733548351885,0.5128,0.0256
occlusion,20,mean_boundary_distance_px,12,13,3,2,3.2055,2.0955,3.5949,1.0334,3.58,1.428,3.7808,1.0514,70.0,0.6833131587171801,0.4487,-0.1026
occlusion,30,mean_local_width_px,12,13,3,2,6.718,3.4565,7.0218,1.7438,5.646,3.495,6.9378,1.7847,87.0,0.6437744336886411,0.5577,0.1154
occlusion,30,mean_local_gap_px,12,13,3,2,10.9405,4.954,12.0727,3.0839,12.826,3.415,13.0294,2.6929,61.0,0.3693698664932572,0.391,-0.2179
occlusion,30,mean_local_density,12,13,3,2,0.3534,0.0628,0.3694,0.0747,0.3575,0.1023,0.3607,0.0673,84.5,0.7441067930241863,0.5417,0.0833
occlusion,30,mean_boundary_distance_px,12,13,3,2,3.467,1.9468,4.1696,1.123,4.408,1.117,4.463,1.1174,65.0,0.4965612172813433,0.4167,-0.1667
