run_name,noise_type,noise_idx,p_nhs,logit_nhs,penult_norm,penult_n_active,is_zero_vector
balanced_sampling_seed2,uniform,0,0.9999845623970032,11.0797,35.0491,3,False
balanced_sampling_seed2,uniform,1,0.9999829530715942,10.9806,34.5846,3,False
balanced_sampling_seed2,uniform,2,0.999984085559845,11.0497,34.7604,3,False
balanced_sampling_seed2,uniform,3,0.9999849796295166,11.1079,34.9833,3,False
balanced_sampling_seed2,uniform,4,0.999982476234436,10.9521,34.7531,3,False
balanced_sampling_seed2,uniform,5,0.9999847412109375,11.0918,35.0198,3,False
balanced_sampling_seed2,uniform,6,0.9999862909317017,11.1967,35.2321,3,False
balanced_sampling_seed2,uniform,7,0.9999845623970032,11.0802,34.9321,3,False
balanced_sampling_seed2,uniform,8,0.9999845623970032,11.0798,34.7543,3,False
balanced_sampling_seed2,uniform,9,0.9999819397926331,10.9203,34.2213,3,False
balanced_sampling_seed2,uniform,10,0.9999822378158569,10.9375,34.4753,3,False
balanced_sampling_seed2,uniform,11,0.9999856352806091,11.1497,35.006,3,False
balanced_sampling_seed2,uniform,12,0.9999852180480957,11.1228,34.8757,3,False
balanced_sampling_seed2,uniform,13,0.9999875426292419,11.2944,35.6041,3,False
balanced_sampling_seed2,uniform,14,0.9999836683273315,11.0228,34.8404,3,False
balanced_sampling_seed2,uniform,15,0.9999856352806091,11.1505,35.255,3,False
balanced_sampling_seed2,uniform,16,0.99998539686203,11.1346,35.0944,3,False
balanced_sampling_seed2,uniform,17,0.9999798536300659,10.8119,33.9685,3,False
balanced_sampling_seed2,uniform,18,0.9999845623970032,11.0786,34.9916,3,False
balanced_sampling_seed2,uniform,19,0.9999850392341614,11.112,35.0047,3,False
balanced_sampling_seed2,uniform,20,0.9999814033508301,10.8936,34.3832,3,False
balanced_sampling_seed2,uniform,21,0.9999837279319763,11.0272,34.7374,3,False
balanced_sampling_seed2,uniform,22,0.9999833106994629,11.002,34.7573,3,False
balanced_sampling_seed2,uniform,23,0.9999862313270569,11.194,35.2932,3,False
balanced_sampling_seed2,uniform,24,0.9999836683273315,11.0219,34.7733,3,False
balanced_sampling_seed2,uniform,25,0.9999834299087524,11.0063,34.74,3,False
balanced_sampling_seed2,uniform,26,0.9999836683273315,11.0225,34.6359,3,False
