run_name,condition_family,seed,init_weight_abs_sum_checksum,balanced_accuracy,recall_sensitivity_HS,specificity_NHS,precision,f1_score,TP,TN,FP,FN,n_test_samples,selected_epoch,selected_epoch_val_balanced_accuracy
balanced_sampling_seed1,balanced_sampling,101,3289.20361328125,0.9742644878200217,0.9512195121951219,0.9973094634449217,0.42857142857142855,0.5909090909090909,39,19275,52,2,19368,7,0.9742644878200217
balanced_sampling_seed2,balanced_sampling,202,3277.092041015625,0.9731261838928732,0.9512195121951219,0.9950328555906245,0.28888888888888886,0.44318181818181823,39,19231,96,2,19368,9,0.9731261838928732
balanced_sampling_seed3,balanced_sampling,303,3279.874755859375,0.9737470769440452,0.9512195121951219,0.9962746416929684,0.35135135135135137,0.5131578947368421,39,19255,72,2,19368,8,0.9737470769440452
baseline_noweight_seed1,baseline_noweight,101,3289.20361328125,0.9743420994514183,0.9512195121951219,0.9974646867077146,0.4431818181818182,0.6046511627906976,39,19278,49,2,19368,9,0.9743420994514183
baseline_noweight_seed2,baseline_noweight,202,3277.092041015625,0.9014042026382907,0.8048780487804879,0.9979303564960935,0.4520547945205479,0.5789473684210527,33,19287,40,8,19368,9,0.9014042026382907
