,,conv_early_2_norm,conv_early_2_norm,conv_early_2_norm,conv_mid_2_norm,conv_mid_2_norm,conv_mid_2_norm,conv_final_2_norm,conv_final_2_norm,conv_final_2_norm,conv_early_2_std,conv_early_2_std,conv_early_2_std,conv_mid_2_std,conv_mid_2_std,conv_mid_2_std,conv_final_2_std,conv_final_2_std,conv_final_2_std,conv_final_2_nonzero_frac,conv_final_2_nonzero_frac,conv_final_2_nonzero_frac
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
checkpoint,is_zero_vector,,,,,,,,,,,,,,,,,,,,,
NEW,False,130.34015660803232,54.37893022560279,19017,491.10021047837387,90.95653997319947,19017,341.0626293462603,70.10773313658056,19017,0.14476899851844036,0.06019921695355083,19017,0.888555683892577,0.1583923599840023,19017,1.9064040514437026,0.3524295057551557,19017,1.0,0.0,19017
NEW,True,176.32203022231403,36.240816890527455,351,612.2516982032363,100.98944412309868,351,549.7080389386908,145.67806832387322,351,0.195928488701497,0.04022927310766602,351,1.1079413245546172,0.17849563472006524,351,2.924366009201419,0.7145845344160251,351,1.0,0.0,351
OLD,False,191.66253574582205,81.86949763075047,18416,690.2225472411315,111.93887932705363,18416,325.9292077463052,81.71285796460316,18416,0.2126004622826295,0.09002718110841854,18416,1.2547100437246748,0.20511102780687493,18416,1.7805742937213798,0.37610063367208996,18416,1.0,0.0,18416
OLD,True,246.22164710229185,39.61575303044139,952,766.2939701240604,56.679360880659964,952,490.4162252730682,65.661950513438,952,0.2730407524666115,0.04355204412581773,952,1.3931477149995435,0.10312904952864636,952,2.4780227510618564,0.25182851827471403,952,1.0,0.0,952
