checkpoint,hs_n,nhs_n_full,nhs_n_pca_subsample,pc1_var_pct,pc2_var_pct,centroid_distance_subsample,within_HS_mean_dist_subsample,within_NHS_mean_dist_subsample,centroid_distance_full,within_HS_mean_dist_full,within_NHS_mean_dist_full
OLD,41,19327,1000,77.18,9.23,18.9938,1.3017,12.2007,18.7939,1.3017,11.9775
NEW,41,19327,1000,82.65,10.5,26.5911,1.9599,13.4956,26.4903,1.9599,13.3155
