checkpoint,unit,HS_mean,HS_median,HS_std,HS_max,HS_frac_zero,HS_frac_gt0,HS_frac_gt0.01,HS_frac_gt0.1,HS_frac_gt1.0,NHS_mean,NHS_median,NHS_std,NHS_max,NHS_frac_zero,NHS_frac_gt0,NHS_frac_gt0.01,NHS_frac_gt0.1,NHS_frac_gt1.0,cohens_d,mannwhitney_p,auc_HS_vs_NHS
OLD,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.5
OLD,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.5
OLD,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.5
OLD,3,0.0725084281549221,0.0,0.45858356505646813,2.972845554351806,0.975609756097561,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,1.054887709852439,0.0,1.7826540052658422,12.828625679016112,0.597764785015781,0.402235214984219,0.401924768458633,0.39199047963988204,0.29419982408030215,-0.5516,2.5486615018703846e-06,0.3118
OLD,4,0.1453421522931355,0.0,0.9192244825547455,5.959028244018555,0.975609756097561,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,4.641801585500757,4.730887413024902,3.218760730083359,14.396711349487305,0.14937651989444817,0.8506234801055518,0.8501578103171729,0.8466394163605319,0.8054017695451958,-1.3982,5.658654312694228e-20,0.0878
OLD,5,0.05440488094236792,0.0,0.34408667921634095,2.230600118637085,0.975609756097561,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.9072197709501841,0.0,1.402100168046287,6.844178676605225,0.5979717493661717,0.4020282506338283,0.40120039323226575,0.39328400682982356,0.3177937600248357,-0.6088,2.5114469952688755e-06,0.3118
OLD,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07040493678443822,0.0,0.29936325733710084,1.7124965190887451,0.9317535054586847,0.06824649454131526,0.06793604801572929,0.0665907797381901,0.03513219847881202,-0.2354,0.08337309346174605,0.4659
OLD,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.002539071738573449,0.0,0.014105599640588929,0.4060116708278656,0.9650230247839809,0.03497697521601904,0.03487349304082372,0.0005691519635742744,0.0,-0.1802,0.22289830595865767,0.4825
OLD,8,0.25090080354271865,0.0,1.5868360119228693,10.286932945251465,0.975609756097561,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,8.773921977041738,8.39670181274414,6.915791197582696,23.65879440307617,0.20406684948517617,0.7959331505148238,0.7956744450768355,0.7920525689449992,0.7664924716717545,-1.2336,7.983935641891067e-18,0.1136
OLD,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.5
