,HSCAD50,HSCAD51,HSCAD510,NHSCAD510_1,NHSCAD51000,NNHSCAD5999_9,NNHSCAD5994_4,NHSCAD50_8,NHSCAD51_1,HSCAD516
HSCAD50,0.0,0.0,0.0,36.19450378417969,34.411441802978516,36.27001953125,1.1075294017791748,0.0,0.0,27.352615356445312
HSCAD51,0.0,0.0,0.0,36.19450378417969,34.411441802978516,36.27001953125,1.1075294017791748,0.0,0.0,27.352615356445312
HSCAD510,0.0,0.0,0.0,36.19450378417969,34.411441802978516,36.27001953125,1.1075294017791748,0.0,0.0,27.352615356445312
NHSCAD510_1,36.19450378417969,36.19450378417969,36.19450378417969,0.0,12.951408386230469,8.656206130981445,35.57066345214844,36.19450378417969,36.19450378417969,14.707650184631348
NHSCAD51000,34.411441802978516,34.411441802978516,34.411441802978516,12.951408386230469,0.0,8.921329498291016,33.903724670410156,34.411441802978516,34.411441802978516,9.631879806518555
NNHSCAD5999_9,36.27001953125,36.27001953125,36.27001953125,8.656206130981445,8.921329498291016,0.0,35.61360168457031,36.27001953125,36.27001953125,12.542353630065918
NNHSCAD5994_4,1.1075294017791748,1.1075294017791748,1.1075294017791748,35.57066345214844,33.903724670410156,35.61360168457031,0.0,1.1075294017791748,1.1075294017791748,26.754846572875977
NHSCAD50_8,0.0,0.0,0.0,36.19450378417969,34.411441802978516,36.27001953125,1.1075294017791748,0.0,0.0,27.352615356445312
NHSCAD51_1,0.0,0.0,0.0,36.19450378417969,34.411441802978516,36.27001953125,1.1075294017791748,0.0,0.0,27.352615356445312
HSCAD516,27.352615356445312,27.352615356445312,27.352615356445312,14.707650184631348,9.631879806518555,12.542353630065918,26.754846572875977,27.352615356445312,27.352615356445312,0.0
